          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.780     0     0     0.0      0      0 |   10   781    0.0003    0.0000    0.0000 |
    0.790     0     0     0.0      0      0 |   10   791    0.0003    0.0000    0.0000 |
    0.800     0     0     0.0      0      0 |   10   801    0.0004    0.0000    0.0000 |
    0.810     0     0     0.0      0      0 |   10   811    0.0003    0.0000    0.0000 |
    0.820     0     0     0.0      0      0 |   10   821    0.0003    0.0000    0.0000 |
    0.830     0     0     0.0      0      0 |   10   831    0.0003    0.0000    0.0000 |
    0.840     0     0     0.0      0      0 |   10   841    0.0003    0.0000    0.0000 |
    0.850     0     0     0.0      0      0 |   10   851    0.0003    0.0000    0.0000 |
    0.860     0     0     0.0      0      0 |   10   861    0.0003    0.0000    0.0000 |
    0.870     0     0     0.0      0      0 |   10   871    0.0003    0.0000    0.0000 |
    0.880     0     0     0.0      0      0 |   10   881    0.0004    0.0000    0.0000 |
    0.890     0     0     0.0      0      0 |   10   891    0.0003    0.0000    0.0000 |
    0.900     0     0     0.0      0      0 |   10   901    0.0003    0.0000    0.0000 |
    0.910     0     0     0.0      0      0 |   10   911    0.0003    0.0000    0.0000 |
    0.920     0     0     0.0      0      0 |   10   921    0.0003    0.0000    0.0000 |
    0.930     0     0     0.0      0      0 |   10   931    0.0003    0.0000    0.0000 |
    0.940     0     0     0.0      0      0 |   10   941    0.0003    0.0000    0.0000 |
    0.950     0     0     0.0      0      0 |   10   951    0.0003    0.0000    0.0000 |
    0.960     0     0     0.0      0      0 |   10   961    0.0003    0.0000    0.0000 |
    0.970     0     0     0.0      0      0 |   10   971    0.0003    0.0000    0.0000 |
    0.980     0     0     0.0      0      0 |   10   981    0.0003    0.0000    0.0000 |
    0.990     0     0     0.0      0      0 |   10   991    0.0003    0.0000    0.0000 |
    1.000     0     0     0.0      0      0 |   10  1001    0.0003    0.0000    0.0000 |
    1.010     0     0     0.0      0      0 |   10  1011    0.0003    0.0000    0.0000 |
    1.020     0     0     0.0      0      0 |   10  1021    0.0003    0.0000    0.0000 |
    1.030     0     0     0.0      0      0 |   10  1031    0.0003    0.0000    0.0000 |
    1.040     0     0     0.0      0      0 |   10  1041    0.0004    0.0000    0.0000 |
    1.050     0     0     0.0      0      0 |   10  1051    0.0004    0.0000    0.0000 |
    1.060     0     0     0.0      0      0 |   10  1061    0.0004    0.0000    0.0000 |
    1.070     0     0     0.0      0      0 |   10  1071    0.0003    0.0000    0.0000 |
    1.080     0     0     0.0      0      0 |   10  1081    0.0003    0.0000    0.0000 |
    1.090     0     0     0.0      0      0 |   10  1091    0.0004    0.0000    0.0000 |
    1.100     0     0     0.0      0      0 |   10  1101    0.0003    0.0000    0.0000 |
    1.110     0     0     0.0      0      0 |   10  1111    0.0004    0.0000    0.0000 |
    1.120     0     0     0.0      0      0 |   10  1121    0.0003    0.0000    0.0000 |
    1.130     0     0     0.0      0      0 |   10  1131    0.0003    0.0000    0.0000 |
    1.140     0     0     0.0      0      0 |   10  1141    0.0003    0.0000    0.0000 |
    1.150     0     0     0.0      0      0 |   10  1151    0.0003    0.0000    0.0000 |
    1.160     0     0     0.0      0      0 |   10  1161    0.0003    0.0000    0.0000 |
    1.170     0     0     0.0      0      0 |   10  1171    0.0003    0.0000    0.0000 |
    1.180     0     0     0.0      0      0 |   10  1181    0.0003    0.0000    0.0000 |
    1.190     0     0     0.0      0      0 |   10  1191    0.0004    0.0000    0.0000 |
    1.200     0     0     0.0      0      0 |   10  1201    0.0004    0.0000    0.0000 |
    1.210     0     0     0.0      0      0 |   10  1211    0.0003    0.0000    0.0000 |
    1.220     0     0     0.0      0      0 |   10  1221    0.0003    0.0000    0.0000 |
    1.230     0     0     0.0      0      0 |   10  1231    0.0003    0.0000    0.0000 |
    1.240     0     0     0.0      0      0 |   10  1241    0.0003    0.0000    0.0000 |
    1.250     0     0     0.0      0      0 |   10  1251    0.0003    0.0000    0.0000 |
    1.260     0     0     0.0      0      0 |   10  1261    0.0004    0.0000    0.0000 |
    1.270     0     0     0.0      0      0 |   10  1271    0.0004    0.0000    0.0000 |
    1.280     0     0     0.0      0      0 |   10  1281    0.0004    0.0000    0.0000 |
    1.290     0     0     0.0      0      0 |   10  1291    0.0003    0.0000    0.0000 |
    1.300     0     0     0.0      0      0 |   10  1301    0.0003    0.0000    0.0000 |
    1.310     0     0     0.0      0      0 |   10  1311    0.0003    0.0000    0.0000 |
    1.320     0     0     0.0      0      0 |   10  1321    0.0004    0.0000    0.0000 |
    1.330     0     0     0.0      0      0 |   10  1331    0.0004    0.0000    0.0000 |
    1.340     0     0     0.0      0      0 |   10  1341    0.0003    0.0000    0.0000 |
    1.350     0     0     0.0      0      0 |   10  1351    0.0003    0.0000    0.0000 |
    1.360     0     0     0.0      0      0 |   10  1361    0.0003    0.0000    0.0000 |
    1.370     0     0     0.0      0      0 |   10  1371    0.0003    0.0000    0.0000 |
    1.380     0     0     0.0      0      0 |   10  1381    0.0003    0.0000    0.0000 |
    1.390     0     0     0.0      0      0 |   10  1391    0.0003    0.0000    0.0000 |
    1.400     0     0     0.0      0      0 |   10  1401    0.0004    0.0000    0.0000 |
    1.410     0     0     0.0      0      0 |   10  1411    0.0003    0.0000    0.0000 |
    1.420     0     0     0.0      0      0 |   10  1421    0.0003    0.0000    0.0000 |
    1.430     0     0     0.0      0      0 |   10  1431    0.0003    0.0000    0.0000 |
    1.440     0     0     0.0      0      0 |   10  1441    0.0003    0.0000    0.0000 |
    1.450     0     0     0.0      0      0 |   10  1451    0.0004    0.0000    0.0000 |
    1.460     0     0     0.0      0      0 |   10  1461    0.0003    0.0000    0.0000 |
    1.470     0     0     0.0      0      0 |   10  1471    0.0003    0.0000    0.0000 |
    1.480     0     0     0.0      0      0 |   10  1481    0.0004    0.0000    0.0000 |
    1.490     0     0     0.0      0      0 |   10  1491    0.0003    0.0000    0.0000 |
    1.500     0     0     0.0      0      0 |   10  1501    0.0003    0.0000    0.0000 |
    1.510     0     0     0.0      0      0 |   10  1511    0.0003    0.0000    0.0000 |
    1.520     0     0     0.0      0      0 |   10  1521    0.0003    0.0000    0.0000 |
    1.530     0     0     0.0      0      0 |   10  1531    0.0003    0.0000    0.0000 |
    1.540     0     0     0.0      0      0 |   10  1541    0.0003    0.0000    0.0000 |
    1.550     0     0     0.0      0      0 |   10  1551    0.0003    0.0000    0.0000 |
    1.560     0     0     0.0      0      0 |   10  1561    0.0003    0.0000    0.0000 |
    1.570     0     0     0.0      0      0 |   10  1571    0.0003    0.0000    0.0000 |
    1.580     0     0     0.0      0      0 |   10  1581    0.0004    0.0000    0.0000 |
    1.590     0     0     0.0      0      0 |   10  1591    0.0003    0.0000    0.0000 |
    1.600     0     0     0.0      0      0 |   10  1601    0.0003    0.0000    0.0000 |
    1.610     0     0     0.0      0      0 |   10  1611    0.0003    0.0000    0.0000 |
    1.620     0     0     0.0      0      0 |   10  1621    0.0004    0.0000    0.0000 |
    1.630     0     0     0.0      0      0 |   10  1631    0.0004    0.0000    0.0000 |
    1.640     0     0     0.0      0      0 |   10  1641    0.0003    0.0000    0.0000 |
    1.650     0     0     0.0      0      0 |   10  1651    0.0003    0.0000    0.0000 |
    1.660     0     0     0.0      0      0 |   10  1661    0.0003    0.0000    0.0000 |
    1.670     0     0     0.0      0      0 |   10  1671    0.0003    0.0000    0.0000 |
    1.680     0     0     0.0      0      0 |   10  1681    0.0003    0.0000    0.0000 |
    1.690     0     0     0.0      0      0 |   10  1691    0.0003    0.0000    0.0000 |
    1.700     0     0     0.0      0      0 |   10  1701    0.0003    0.0000    0.0000 |
    1.710     0     0     0.0      0      0 |   10  1711    0.0003    0.0000    0.0000 |
    1.720     0     0     0.0      0      0 |   10  1721    0.0003    0.0000    0.0000 |
    1.730     0     0     0.0      0      0 |   10  1731    0.0003    0.0000    0.0000 |
    1.740     0     0     0.0      0      0 |   10  1741    0.0003    0.0000    0.0000 |
    1.750     0     0     0.0      0      0 |   10  1751    0.0003    0.0000    0.0000 |
    1.760     0     0     0.0      0      0 |   10  1761    0.0003    0.0000    0.0000 |
    1.770     0     0     0.0      0      0 |   10  1771    0.0003    0.0000    0.0000 |
    1.780     0     0     0.0      0      0 |   10  1781    0.0004    0.0000    0.0000 |
    1.790     0     0     0.0      0      0 |   10  1791    0.0003    0.0000    0.0000 |
    1.800     0     0     0.0      0      0 |   10  1801    0.0003    0.0000    0.0000 |
    1.810     0     0     0.0      0      0 |   10  1811    0.0003    0.0000    0.0000 |
    1.820     0     0     0.0      0      0 |   10  1821    0.0003    0.0000    0.0000 |
    1.830     0     0     0.0      0      0 |   10  1831    0.0003    0.0000    0.0000 |
    1.840     0     0     0.0      0      0 |   10  1841    0.0004    0.0000    0.0000 |
    1.850     0     0     0.0      0      0 |   10  1851    0.0003    0.0000    0.0000 |
    1.860     0     0     0.0      0      0 |   10  1861    0.0003    0.0000    0.0000 |
    1.870     0     0     0.0      0      0 |   10  1871    0.0004    0.0000    0.0000 |
    1.880     0     0     0.0      0      0 |   10  1881    0.0004    0.0000    0.0000 |
    1.890     0     0     0.0      0      0 |   10  1891    0.0003    0.0000    0.0000 |
    1.900     0     0     0.0      0      0 |   10  1901    0.0003    0.0000    0.0000 |
    1.910     0     0     0.0      0      0 |   10  1911    0.0003    0.0000    0.0000 |
    1.920     0     0     0.0      0      0 |   10  1921    0.0004    0.0000    0.0000 |
    1.930     0     0     0.0      0      0 |   10  1931    0.0003    0.0000    0.0000 |
    1.940     0     0     0.0      0      0 |   10  1941    0.0003    0.0000    0.0000 |
    1.950     0     0     0.0      0      0 |   10  1951    0.0003    0.0000    0.0000 |
    1.960     0     0     0.0      0      0 |   10  1961    0.0003    0.0000    0.0000 |
    1.970     0     0     0.0      0      0 |   10  1971    0.0003    0.0000    0.0000 |
    1.980     0     0     0.0      0      0 |   10  1981    0.0004    0.0000    0.0000 |
    1.990     0     0     0.0      0      0 |   10  1991    0.0003    0.0000    0.0000 |
    2.000     0     0     0.0      0      0 |   10  2001    0.0004    0.0000    0.0000 |
    2.010     0    39    34.6    346    346 |   10  2011    0.1953    0.0195    0.0006 |
    2.020    39    39    39.0    390    736 |   10  2021    0.1889    0.0189    0.0005 |
    2.030    38    40    39.1    391   1127 |   10  2031    0.2182    0.0218    0.0006 |
    2.040    38    39    38.6    386   1513 |   10  2041    0.1921    0.0192    0.0005 |
    2.050    39    39    39.0    390   1903 |   10  2051    0.1917    0.0192    0.0005 |
    2.060    38    39    38.9    389   2292 |   10  2061    0.1900    0.0190    0.0005 |
    2.070    37    39    38.1    381   2673 |   10  2071    0.1911    0.0191    0.0005 |
    2.080    35    41    37.7    377   3050 |   10  2081    0.2187    0.0219    0.0006 |
    2.090    41    41    41.0    410   3460 |   10  2091    0.2385    0.0238    0.0006 |
    2.100    40    41    40.6    406   3866 |   10  2101    0.2296    0.0230    0.0006 |
    2.110    39    40    39.9    399   4265 |   10  2111    0.2285    0.0229    0.0006 |
    2.120    40    43    41.0    410   4675 |   10  2121    0.2107    0.0211    0.0005 |
    2.130    44    44    44.0    440   5115 |   10  2131    0.2155    0.0216    0.0005 |
    2.140    43    44    43.9    439   5554 |   10  2141    0.2140    0.0214    0.0005 |
    2.150    44    45    44.4    444   5998 |   10  2151    0.2157    0.0216    0.0005 |
    2.160    44    45    44.3    443   6441 |   10  2161    0.2185    0.0219    0.0005 |
    2.170    43    44    43.8    438   6879 |   10  2171    0.2125    0.0212    0.0005 |
    2.180    43    45    44.2    442   7321 |   10  2181    0.2142    0.0214    0.0005 |
    2.190    45    45    45.0    450   7771 |   10  2191    0.2197    0.0220    0.0005 |
    2.200    43    45    44.1    441   8212 |   10  2201    0.2188    0.0219    0.0005 |
    2.210    39    46    43.1    431   8643 |   10  2211    0.2153    0.0215    0.0005 |
    2.220    46    47    46.8    468   9111 |   10  2221    0.2319    0.0232    0.0005 |
    2.230    45    47    45.5    455   9566 |   10  2231    0.2256    0.0226    0.0005 |
    2.240    44    44    44.0    440  10006 |   10  2241    0.2174    0.0217    0.0005 |
    2.250    44    46    45.5    455  10461 |   10  2251    0.2248    0.0225    0.0005 |
    2.260    45    46    45.9    459  10920 |   10  2261    0.2260    0.0226    0.0005 |
    2.270    44    46    44.8    448  11368 |   10  2271    0.2172    0.0217    0.0005 |
    2.280    44    46    45.2    452  11820 |   10  2281    0.2206    0.0221    0.0005 |
    2.290    46    46    46.0    460  12280 |   10  2291    0.2244    0.0224    0.0005 |
    2.300    44    46    44.9    449  12729 |   10  2301    0.2179    0.0218    0.0005 |
    2.310    44    46    45.6    456  13185 |   10  2311    0.2254    0.0225    0.0005 |
    2.320    45    46    45.9    459  13644 |   10  2321    0.2253    0.0225    0.0005 |
