          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    3.750    69    75    71.2   3562 108505 |   50  3751    1.9389    0.0388    0.0005 |
    3.800    65    75    71.5   3575 112080 |   50  3801    1.9605    0.0392    0.0005 |
    3.850    61    72    65.4   3272 115352 |   50  3851    1.7921    0.0358    0.0005 |
    3.900    60    72    66.5   3324 118676 |   50  3901    1.8141    0.0363    0.0005 |
    3.950    65    73    70.0   3498 122174 |   50  3951    1.9089    0.0382    0.0005 |
    4.000    66    76    71.3   3565 125739 |   50  4001    1.9462    0.0389    0.0005 |
    4.050    65    76    74.4   3721 129460 |   50  4051    2.0639    0.0413    0.0006 |
    4.100    70    76    73.0   3650 133110 |   50  4101    2.0727    0.0415    0.0006 |
    4.150    59    73    67.4   3369 136479 |   50  4151    1.8441    0.0369    0.0005 |
    4.200    61    72    67.5   3375 139854 |   50  4201    1.8433    0.0369    0.0005 |
    4.250    61    69    64.1   3204 143058 |   50  4251    1.7531    0.0351    0.0005 |
    4.300    61    72    65.5   3276 146334 |   50  4301    1.7904    0.0358    0.0005 |
    4.350    62    73    67.4   3368 149702 |   50  4351    1.8351    0.0367    0.0005 |
    4.400    62    75    67.5   3375 153077 |   50  4401    1.8405    0.0368    0.0005 |
    4.450    60    76    70.2   3508 156585 |   50  4451    1.9160    0.0383    0.0005 |
    4.500    58    70    63.7   3183 159768 |   50  4501    1.7438    0.0349    0.0005 |
    4.550    60    72    65.6   3280 163048 |   50  4551    1.7934    0.0359    0.0005 |
    4.600    59    72    63.7   3183 166231 |   50  4601    1.7535    0.0351    0.0006 |
    4.650    61    74    67.2   3359 169590 |   50  4651    1.8404    0.0368    0.0005 |
    4.700    66    70    68.0   3398 172988 |   50  4701    1.8701    0.0374    0.0006 |
    4.750    58    73    67.3   3364 176352 |   50  4751    1.8357    0.0367    0.0005 |
    4.800    59    67    65.4   3268 179620 |   50  4801    1.7821    0.0356    0.0005 |
    4.850    61    67    64.8   3241 182861 |   50  4851    1.8354    0.0367    0.0006 |
    4.900    59    63    62.2   3110 185971 |   50  4901    1.7700    0.0354    0.0006 |
    4.950    61    67    63.5   3176 189147 |   50  4951    1.7460    0.0349    0.0005 |
    5.000    61    66    62.9   3147 192294 |   50  5001    1.7274    0.0345    0.0005 |
    5.050    62    69    67.0   3348 195642 |   50  5051    1.8290    0.0366    0.0005 |
    5.100    61    71    67.0   3349 198991 |   50  5101    1.8350    0.0367    0.0005 |
    5.150    62    69    65.9   3297 202288 |   50  5151    1.8267    0.0365    0.0006 |
    5.200    59    72    64.8   3242 205530 |   50  5201    1.7713    0.0354    0.0005 |
    5.250    58    68    63.5   3173 208703 |   50  5251    1.7361    0.0347    0.0005 |
    5.300    55    67    64.9   3246 211949 |   50  5301    1.7696    0.0354    0.0005 |
    5.350    65    66    66.0   3299 215248 |   50  5351    1.8012    0.0360    0.0005 |
    5.400    65    72    66.7   3336 218584 |   50  5401    1.8193    0.0364    0.0005 |
    5.450    65    73    68.7   3436 222020 |   50  5451    1.8736    0.0375    0.0005 |
    5.500    63    73    69.4   3471 225491 |   50  5501    1.8924    0.0378    0.0005 |
    5.550    65    74    70.9   3543 229034 |   50  5551    1.9461    0.0389    0.0005 |
    5.600    61    72    67.0   3348 232382 |   50  5601    1.8259    0.0365    0.0005 |
    5.650    59    65    62.9   3145 235527 |   50  5651    1.7597    0.0352    0.0006 |
    5.700    62    68    66.3   3316 238843 |   50  5701    1.8880    0.0378    0.0006 |
    5.750    59    68    65.1   3253 242096 |   50  5751    1.7809    0.0356    0.0005 |
    5.800    60    72    67.4   3369 245465 |   50  5801    1.8426    0.0369    0.0005 |
    5.850    59    72    66.5   3327 248792 |   50  5851    1.8133    0.0363    0.0005 |
    5.900    59    66    62.4   3121 251913 |   50  5901    1.7070    0.0341    0.0005 |
    5.950    59    71    67.1   3356 255269 |   50  5951    1.8277    0.0366    0.0005 |
    6.000    58    65    62.7   3137 258406 |   50  6001    1.7131    0.0343    0.0005 |
    6.050    59    65    64.0   3201 261607 |   50  6051    1.7620    0.0352    0.0006 |
    6.100    58    68    62.9   3147 264754 |   50  6101    1.7277    0.0346    0.0005 |
    6.150    62    68    63.2   3159 267913 |   50  6151    1.7402    0.0348    0.0006 |
    6.200    59    66    64.3   3215 271128 |   50  6201    1.7588    0.0352    0.0005 |
    6.250    58    69    63.1   3154 274282 |   50  6251    1.7307    0.0346    0.0005 |
    6.300    59    70    62.4   3120 277402 |   50  6301    1.7063    0.0341    0.0005 |
    6.350    59    65    63.6   3182 280584 |   50  6351    1.7410    0.0348    0.0005 |
    6.400    61    65    62.0   3099 283683 |   50  6401    1.6971    0.0339    0.0005 |
    6.450    54    62    60.3   3013 286696 |   50  6451    1.6675    0.0334    0.0006 |
    6.500    58    65    61.6   3080 289776 |   50  6501    1.7727    0.0355    0.0006 |
    6.550    62    69    66.6   3328 293104 |   50  6551    1.8565    0.0371    0.0006 |
    6.600    62    69    67.0   3352 296456 |   50  6601    1.8267    0.0365    0.0005 |
    6.650    61    69    65.3   3264 299720 |   50  6651    1.7809    0.0356    0.0005 |
    6.700    61    69    67.0   3351 303071 |   50  6701    1.8314    0.0366    0.0005 |
    6.750    61    66    63.7   3186 306257 |   50  6751    1.7420    0.0348    0.0005 |
    6.800    58    70    66.8   3340 309597 |   50  6801    1.8268    0.0365    0.0005 |
    6.850    55    66    62.7   3135 312732 |   50  6851    1.7239    0.0345    0.0005 |
    6.900    58    68    64.0   3201 315933 |   50  6901    1.7484    0.0350    0.0005 |
    6.950    63    73    68.3   3417 319350 |   50  6951    1.8677    0.0374    0.0005 |
    7.000    63    74    68.9   3444 322794 |   50  7001    1.8740    0.0375    0.0005 |
    7.050    64    76    70.5   3523 326317 |   50  7051    1.9196    0.0384    0.0005 |
    7.100    62    76    68.6   3431 329748 |   50  7101    1.8741    0.0375    0.0005 |
    7.150    65    71    67.1   3355 333103 |   50  7151    1.8320    0.0366    0.0005 |
    7.200    64    72    68.9   3446 336549 |   50  7201    1.8820    0.0376    0.0005 |
    7.250    61    71    65.8   3291 339840 |   50  7251    1.8035    0.0361    0.0005 |
    7.300    61    70    66.1   3303 343143 |   50  7301    1.8930    0.0379    0.0006 |
    7.350    64    75    71.2   3562 346705 |   50  7351    1.9801    0.0396    0.0006 |
    7.400    63    75    69.9   3493 350198 |   50  7401    1.9064    0.0381    0.0005 |
    7.450    62    72    68.7   3434 353632 |   50  7451    1.8773    0.0375    0.0005 |
    7.500    61    67    63.7   3187 356819 |   50  7501    1.7509    0.0350    0.0005 |
    7.550    61    68    64.6   3231 360050 |   50  7551    1.7692    0.0354    0.0005 |
    7.600    62    70    67.8   3390 363440 |   50  7601    1.8511    0.0370    0.0005 |
    7.650    65    69    67.5   3374 366814 |   50  7651    1.8392    0.0368    0.0005 |
    7.700    64    72    68.4   3422 370236 |   50  7701    1.8761    0.0375    0.0005 |
    7.750    65    72    70.8   3539 373775 |   50  7751    1.9343    0.0387    0.0005 |
    7.800    65    73    69.2   3459 377234 |   50  7801    1.8831    0.0377    0.0005 |
    7.850    65    73    69.7   3486 380720 |   50  7851    1.9000    0.0380    0.0005 |
    7.900    65    71    68.4   3421 384141 |   50  7901    1.8666    0.0373    0.0005 |
    7.950    65    69    68.1   3405 387546 |   50  7951    1.8562    0.0371    0.0005 |
    8.000    65    71    69.2   3459 391005 |   50  8001    1.8906    0.0378    0.0005 |
    8.050    65    72    68.4   3420 394425 |   50  8051    1.8915    0.0378    0.0006 |
