          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    3.800    16    17    16.4    820  22688 |   50  3801    0.0421    0.0008    0.0001 |
    3.850    16    17    16.1    806  23494 |   50  3851    0.0411    0.0008    0.0001 |
    3.900    16    17    16.8    842  24336 |   50  3901    0.0426    0.0009    0.0001 |
    3.950    16    17    16.1    806  25142 |   50  3951    0.0413    0.0008    0.0001 |
    4.000    16    17    16.2    811  25953 |   50  4001    0.0408    0.0008    0.0001 |
    4.050    16    17    16.8    840  26793 |   50  4051    0.0425    0.0009    0.0001 |
    4.100    16    17    17.0    849  27642 |   50  4101    0.0461    0.0009    0.0001 |
    4.150    17    17    17.0    850  28492 |   50  4151    0.0425    0.0009    0.0001 |
    4.200    17    17    17.0    850  29342 |   50  4201    0.0424    0.0008    0.0000 |
    4.250    17    17    17.0    850  30192 |   50  4251    0.0439    0.0009    0.0001 |
    4.300    16    17    16.6    830  31022 |   50  4301    0.0421    0.0008    0.0001 |
    4.350    17    17    17.0    850  31872 |   50  4351    0.0428    0.0009    0.0001 |
    4.400    16    17    16.7    837  32709 |   50  4401    0.0424    0.0008    0.0001 |
    4.450    17    17    17.0    850  33559 |   50  4451    0.0429    0.0009    0.0001 |
    4.500    17    18    17.5    873  34432 |   50  4501    0.0438    0.0009    0.0001 |
    4.550    17    18    17.4    868  35300 |   50  4551    0.0431    0.0009    0.0000 |
    4.600    16    17    17.0    849  36149 |   50  4601    0.0435    0.0009    0.0001 |
    4.650    16    17    16.5    823  36972 |   50  4651    0.0415    0.0008    0.0001 |
    4.700    17    17    17.0    850  37822 |   50  4701    0.0427    0.0009    0.0001 |
    4.750    16    17    17.0    849  38671 |   50  4751    0.0423    0.0008    0.0000 |
    4.800    17    17    17.0    850  39521 |   50  4801    0.0437    0.0009    0.0001 |
    4.850    14    17    15.7    787  40308 |   50  4851    0.0428    0.0009    0.0001 |
    4.900    14    17    14.2    709  41017 |   50  4901    0.0379    0.0008    0.0001 |
    4.950    14    17    16.6    829  41846 |   50  4951    0.0424    0.0008    0.0001 |
    5.000    16    17    16.8    838  42684 |   50  5001    0.0425    0.0009    0.0001 |
    5.050    16    17    16.6    831  43515 |   50  5051    0.0420    0.0008    0.0001 |
    5.100    16    17    16.9    846  44361 |   50  5101    0.0416    0.0008    0.0000 |
    5.150    16    17    16.7    833  45194 |   50  5151    0.0438    0.0009    0.0001 |
    5.200    16    17    16.1    803  45997 |   50  5201    0.0406    0.0008    0.0001 |
    5.250    16    17    16.5    826  46823 |   50  5251    0.0421    0.0008    0.0001 |
    5.300    17    17    17.0    850  47673 |   50  5301    0.0425    0.0008    0.0000 |
    5.350    16    17    16.8    839  48512 |   50  5351    0.0425    0.0008    0.0001 |
    5.400    16    17    17.0    849  49361 |   50  5401    0.0427    0.0009    0.0001 |
    5.450    16    17    16.8    838  50199 |   50  5451    0.0427    0.0009    0.0001 |
    5.500    16    17    16.9    845  51044 |   50  5501    0.0429    0.0009    0.0001 |
    5.550    17    17    17.0    850  51894 |   50  5551    0.0428    0.0009    0.0001 |
    5.600    16    17    16.9    847  52741 |   50  5601    0.0437    0.0009    0.0001 |
    5.650    17    17    17.0    850  53591 |   50  5651    0.0436    0.0009    0.0001 |
    5.700    16    17    17.0    849  54440 |   50  5701    0.0450    0.0009    0.0001 |
    5.750    17    18    17.0    851  55291 |   50  5751    0.0428    0.0009    0.0001 |
    5.800    17    18    17.1    855  56146 |   50  5801    0.0430    0.0009    0.0001 |
    5.850    16    17    17.0    849  56995 |   50  5851    0.0433    0.0009    0.0001 |
    5.900    17    17    17.0    850  57845 |   50  5901    0.0432    0.0009    0.0001 |
    5.950    17    17    17.0    850  58695 |   50  5951    0.0426    0.0009    0.0001 |
    6.000    16    17    16.4    822  59517 |   50  6001    0.0410    0.0008    0.0000 |
    6.050    16    17    16.9    847  60364 |   50  6051    0.0432    0.0009    0.0001 |
    6.100    17    17    17.0    850  61214 |   50  6101    0.0422    0.0008    0.0000 |
    6.150    16    17    17.0    849  62063 |   50  6151    0.0431    0.0009    0.0001 |
    6.200    16    17    16.8    838  62901 |   50  6201    0.0424    0.0008    0.0001 |
    6.250    16    17    17.0    849  63750 |   50  6251    0.0421    0.0008    0.0000 |
    6.300    16    17    17.0    848  64598 |   50  6301    0.0423    0.0008    0.0000 |
    6.350    16    17    17.0    849  65447 |   50  6351    0.0422    0.0008    0.0000 |
    6.400    17    17    17.0    850  66297 |   50  6401    0.0437    0.0009    0.0001 |
    6.450    16    17    16.8    840  67137 |   50  6451    0.0423    0.0008    0.0001 |
    6.500    16    17    16.8    841  67978 |   50  6501    0.0458    0.0009    0.0001 |
    6.550    17    17    17.0    850  68828 |   50  6551    0.0443    0.0009    0.0001 |
    6.600    16    17    16.1    804  69632 |   50  6601    0.0407    0.0008    0.0001 |
    6.650    16    16    16.0    800  70432 |   50  6651    0.0413    0.0008    0.0001 |
    6.700    16    17    16.2    810  71242 |   50  6701    0.0412    0.0008    0.0001 |
    6.750    17    17    17.0    850  72092 |   50  6751    0.0420    0.0008    0.0000 |
    6.800    17    17    17.0    850  72942 |   50  6801    0.0428    0.0009    0.0001 |
    6.850    17    17    17.0    850  73792 |   50  6851    0.0423    0.0008    0.0000 |
    6.900    16    17    17.0    849  74641 |   50  6901    0.0424    0.0008    0.0000 |
