          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.760     8     8     8.0     80   6076 |   10   761    0.0035    0.0004    0.0000 |
    0.770     8     8     8.0     80   6156 |   10   771    0.0034    0.0003    0.0000 |
    0.780     8     8     8.0     80   6236 |   10   781    0.0033    0.0003    0.0000 |
    0.790     8     8     8.0     80   6316 |   10   791    0.0027    0.0003    0.0000 |
    0.800     8     8     8.0     80   6396 |   10   801    0.0026    0.0003    0.0000 |
    0.810     8     8     8.0     80   6476 |   10   811    0.0029    0.0003    0.0000 |
    0.820     8     8     8.0     80   6556 |   10   821    0.0026    0.0003    0.0000 |
    0.830     8     8     8.0     80   6636 |   10   831    0.0026    0.0003    0.0000 |
    0.840     8     8     8.0     80   6716 |   10   841    0.0026    0.0003    0.0000 |
    0.850     8     8     8.0     80   6796 |   10   851    0.0027    0.0003    0.0000 |
    0.860     8     8     8.0     80   6876 |   10   861    0.0027    0.0003    0.0000 |
    0.870     8     8     8.0     80   6956 |   10   871    0.0027    0.0003    0.0000 |
    0.880     8     8     8.0     80   7036 |   10   881    0.0026    0.0003    0.0000 |
    0.890     8     8     8.0     80   7116 |   10   891    0.0029    0.0003    0.0000 |
    0.900     8     8     8.0     80   7196 |   10   901    0.0024    0.0002    0.0000 |
    0.910     8     8     8.0     80   7276 |   10   911    0.0026    0.0003    0.0000 |
    0.920     8     8     8.0     80   7356 |   10   921    0.0027    0.0003    0.0000 |
    0.930     8     8     8.0     80   7436 |   10   931    0.0025    0.0003    0.0000 |
    0.940     8     8     8.0     80   7516 |   10   941    0.0026    0.0003    0.0000 |
    0.950     8     8     8.0     80   7596 |   10   951    0.0028    0.0003    0.0000 |
    0.960     8     8     8.0     80   7676 |   10   961    0.0026    0.0003    0.0000 |
    0.970     8     8     8.0     80   7756 |   10   971    0.0025    0.0002    0.0000 |
    0.980     8     8     8.0     80   7836 |   10   981    0.0028    0.0003    0.0000 |
    0.990     8     8     8.0     80   7916 |   10   991    0.0026    0.0003    0.0000 |
    1.000     8     8     8.0     80   7996 |   10  1001    0.0028    0.0003    0.0000 |
    1.010     8     8     8.0     80   8076 |   10  1011    0.0027    0.0003    0.0000 |
    1.020     8     8     8.0     80   8156 |   10  1021    0.0028    0.0003    0.0000 |
    1.030     8     8     8.0     80   8236 |   10  1031    0.0027    0.0003    0.0000 |
    1.040     8     8     8.0     80   8316 |   10  1041    0.0029    0.0003    0.0000 |
    1.050     8     8     8.0     80   8396 |   10  1051    0.0028    0.0003    0.0000 |
    1.060     8     8     8.0     80   8476 |   10  1061    0.0026    0.0003    0.0000 |
    1.070     8     8     8.0     80   8556 |   10  1071    0.0030    0.0003    0.0000 |
    1.080     8     8     8.0     80   8636 |   10  1081    0.0026    0.0003    0.0000 |
    1.090     8     8     8.0     80   8716 |   10  1091    0.0028    0.0003    0.0000 |
    1.100     8     8     8.0     80   8796 |   10  1101    0.0025    0.0003    0.0000 |
    1.110     8     8     8.0     80   8876 |   10  1111    0.0025    0.0003    0.0000 |
    1.120     8     8     8.0     80   8956 |   10  1121    0.0026    0.0003    0.0000 |
    1.130     8     8     8.0     80   9036 |   10  1131    0.0032    0.0003    0.0000 |
    1.140     8     8     8.0     80   9116 |   10  1141    0.0027    0.0003    0.0000 |
    1.150     8     8     8.0     80   9196 |   10  1151    0.0026    0.0003    0.0000 |
    1.160     8     8     8.0     80   9276 |   10  1161    0.0029    0.0003    0.0000 |
    1.170     8     8     8.0     80   9356 |   10  1171    0.0027    0.0003    0.0000 |
    1.180     8     8     8.0     80   9436 |   10  1181    0.0026    0.0003    0.0000 |
    1.190     8     8     8.0     80   9516 |   10  1191    0.0029    0.0003    0.0000 |
    1.200     8     8     8.0     80   9596 |   10  1201    0.0029    0.0003    0.0000 |
    1.210     8     8     8.0     80   9676 |   10  1211    0.0027    0.0003    0.0000 |
    1.220     8     8     8.0     80   9756 |   10  1221    0.0031    0.0003    0.0000 |
    1.230     8     8     8.0     80   9836 |   10  1231    0.0027    0.0003    0.0000 |
    1.240     8     8     8.0     80   9916 |   10  1241    0.0028    0.0003    0.0000 |
    1.250     8     8     8.0     80   9996 |   10  1251    0.0028    0.0003    0.0000 |
    1.260     8     8     8.0     80  10076 |   10  1261    0.0027    0.0003    0.0000 |
    1.270     8     8     8.0     80  10156 |   10  1271    0.0027    0.0003    0.0000 |
    1.280     8     8     8.0     80  10236 |   10  1281    0.0027    0.0003    0.0000 |
    1.290     8     8     8.0     80  10316 |   10  1291    0.0029    0.0003    0.0000 |
    1.300     8     8     8.0     80  10396 |   10  1301    0.0026    0.0003    0.0000 |
    1.310     8     8     8.0     80  10476 |   10  1311    0.0025    0.0003    0.0000 |
    1.320     7     8     7.5     75  10551 |   10  1321    0.0024    0.0002    0.0000 |
    1.330     7     7     7.0     70  10621 |   10  1331    0.0023    0.0002    0.0000 |
    1.340     7     7     7.0     70  10691 |   10  1341    0.0023    0.0002    0.0000 |
    1.350     7     7     7.0     70  10761 |   10  1351    0.0023    0.0002    0.0000 |
    1.360     7     7     7.0     70  10831 |   10  1361    0.0022    0.0002    0.0000 |
    1.370     7     7     7.0     70  10901 |   10  1371    0.0025    0.0003    0.0000 |
    1.380     7     7     7.0     70  10971 |   10  1381    0.0024    0.0002    0.0000 |
