          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.760     7     7     7.0     70   7715 |   10   761    0.0200    0.0020    0.0003 |
    0.770     7     7     7.0     70   7785 |   10   771    0.0178    0.0018    0.0003 |
    0.780     7     7     7.0     70   7855 |   10   781    0.0174    0.0017    0.0002 |
    0.790     7     7     7.0     70   7925 |   10   791    0.0154    0.0015    0.0002 |
    0.800     7     7     7.0     70   7995 |   10   801    0.0151    0.0015    0.0002 |
    0.810     7     8     7.1     71   8066 |   10   811    0.0155    0.0016    0.0002 |
    0.820     7     8     7.1     71   8137 |   10   821    0.0160    0.0016    0.0002 |
    0.830     7     8     7.1     71   8208 |   10   831    0.0161    0.0016    0.0002 |
    0.840     7     8     7.1     71   8279 |   10   841    0.0155    0.0015    0.0002 |
    0.850     7     8     7.2     72   8351 |   10   851    0.0163    0.0016    0.0002 |
    0.860     7     8     7.2     72   8423 |   10   861    0.0159    0.0016    0.0002 |
    0.870     7     8     7.1     71   8494 |   10   871    0.0161    0.0016    0.0002 |
    0.880     7     8     7.2     72   8566 |   10   881    0.0161    0.0016    0.0002 |
    0.890     7     8     7.2     72   8638 |   10   891    0.0164    0.0016    0.0002 |
    0.900     7     8     7.2     72   8710 |   10   901    0.0154    0.0015    0.0002 |
    0.910     7     8     7.3     73   8783 |   10   911    0.0157    0.0016    0.0002 |
    0.920     7     8     7.2     72   8855 |   10   921    0.0158    0.0016    0.0002 |
    0.930     7     8     7.3     73   8928 |   10   931    0.0159    0.0016    0.0002 |
    0.940     7     8     7.2     72   9000 |   10   941    0.0162    0.0016    0.0002 |
    0.950     7     8     7.3     73   9073 |   10   951    0.0162    0.0016    0.0002 |
    0.960     7     8     7.3     73   9146 |   10   961    0.0160    0.0016    0.0002 |
    0.970     7     8     7.3     73   9219 |   10   971    0.0163    0.0016    0.0002 |
    0.980     7     8     7.3     73   9292 |   10   981    0.0161    0.0016    0.0002 |
    0.990     7     8     7.3     73   9365 |   10   991    0.0161    0.0016    0.0002 |
    1.000     7     8     7.3     73   9438 |   10  1001    0.0155    0.0015    0.0002 |
    1.010     7     8     7.4     74   9512 |   10  1011    0.0164    0.0016    0.0002 |
    1.020     7     8     7.3     73   9585 |   10  1021    0.0163    0.0016    0.0002 |
    1.030     7     8     7.3     73   9658 |   10  1031    0.0155    0.0015    0.0002 |
    1.040     7     8     7.4     74   9732 |   10  1041    0.0153    0.0015    0.0002 |
    1.050     7     8     7.3     73   9805 |   10  1051    0.0149    0.0015    0.0002 |
    1.060     7     8     7.3     73   9878 |   10  1061    0.0156    0.0016    0.0002 |
    1.070     7     8     7.4     74   9952 |   10  1071    0.0156    0.0016    0.0002 |
    1.080     7     8     7.3     73  10025 |   10  1081    0.0152    0.0015    0.0002 |
    1.090     7     8     7.3     73  10098 |   10  1091    0.0165    0.0016    0.0002 |
    1.100     7     8     7.4     74  10172 |   10  1101    0.0162    0.0016    0.0002 |
    1.110     7     8     7.5     75  10247 |   10  1111    0.0164    0.0016    0.0002 |
    1.120     7     8     7.4     74  10321 |   10  1121    0.0161    0.0016    0.0002 |
    1.130     7     8     7.6     76  10397 |   10  1131    0.0167    0.0017    0.0002 |
    1.140     7     8     7.4     74  10471 |   10  1141    0.0161    0.0016    0.0002 |
    1.150     7     8     7.6     76  10547 |   10  1151    0.0162    0.0016    0.0002 |
    1.160     7     8     7.4     74  10621 |   10  1161    0.0156    0.0016    0.0002 |
    1.170     7     8     7.6     76  10697 |   10  1171    0.0170    0.0017    0.0002 |
    1.180     7     8     7.4     74  10771 |   10  1181    0.0155    0.0015    0.0002 |
    1.190     7     8     7.6     76  10847 |   10  1191    0.0166    0.0017    0.0002 |
    1.200     7     8     7.4     74  10921 |   10  1201    0.0159    0.0016    0.0002 |
    1.210     7     8     7.6     76  10997 |   10  1211    0.0173    0.0017    0.0002 |
    1.220     7     8     7.4     74  11071 |   10  1221    0.0165    0.0016    0.0002 |
    1.230     7     8     7.6     76  11147 |   10  1231    0.0165    0.0017    0.0002 |
    1.240     7     8     7.4     74  11221 |   10  1241    0.0164    0.0016    0.0002 |
    1.250     7     8     7.6     76  11297 |   10  1251    0.0159    0.0016    0.0002 |
    1.260     7     8     7.4     74  11371 |   10  1261    0.0162    0.0016    0.0002 |
    1.270     7     8     7.6     76  11447 |   10  1271    0.0163    0.0016    0.0002 |
    1.280     7     8     7.4     74  11521 |   10  1281    0.0160    0.0016    0.0002 |
    1.290     7     8     7.6     76  11597 |   10  1291    0.0182    0.0018    0.0002 |
    1.300     7     8     7.4     74  11671 |   10  1301    0.0158    0.0016    0.0002 |
    1.310     7     8     7.6     76  11747 |   10  1311    0.0156    0.0016    0.0002 |
    1.320     7     8     7.4     74  11821 |   10  1321    0.0157    0.0016    0.0002 |
    1.330     7     8     7.6     76  11897 |   10  1331    0.0168    0.0017    0.0002 |
    1.340     7     8     7.4     74  11971 |   10  1341    0.0166    0.0017    0.0002 |
    1.350     7     8     7.6     76  12047 |   10  1351    0.0165    0.0016    0.0002 |
    1.360     7     8     7.4     74  12121 |   10  1361    0.0150    0.0015    0.0002 |
    1.370     7     8     7.6     76  12197 |   10  1371    0.0167    0.0017    0.0002 |
    1.380     7     8     7.4     74  12271 |   10  1381    0.0162    0.0016    0.0002 |
    1.390     7     8     7.6     76  12347 |   10  1391    0.0164    0.0016    0.0002 |
    1.400     7     8     7.4     74  12421 |   10  1401    0.0160    0.0016    0.0002 |
    1.410     7     8     7.6     76  12497 |   10  1411    0.0161    0.0016    0.0002 |
    1.420     7     8     7.4     74  12571 |   10  1421    0.0156    0.0016    0.0002 |
    1.430     7     8     7.6     76  12647 |   10  1431    0.0162    0.0016    0.0002 |
    1.440     7     8     7.4     74  12721 |   10  1441    0.0169    0.0017    0.0002 |
    1.450     7     8     7.6     76  12797 |   10  1451    0.0162    0.0016    0.0002 |
    1.460     7     8     7.4     74  12871 |   10  1461    0.0162    0.0016    0.0002 |
    1.470     7     8     7.6     76  12947 |   10  1471    0.0191    0.0019    0.0003 |
    1.480     7     8     7.4     74  13021 |   10  1481    0.0177    0.0018    0.0002 |
    1.490     7     8     7.6     76  13097 |   10  1491    0.0187    0.0019    0.0002 |
    1.500     7     8     7.4     74  13171 |   10  1501    0.0171    0.0017    0.0002 |
    1.510     7     8     7.6     76  13247 |   10  1511    0.0187    0.0019    0.0002 |
    1.520     7     8     7.4     74  13321 |   10  1521    0.0190    0.0019    0.0003 |
    1.530     7     8     7.6     76  13397 |   10  1531    0.0161    0.0016    0.0002 |
    1.540     7     8     7.4     74  13471 |   10  1541    0.0159    0.0016    0.0002 |
    1.550     7     8     7.6     76  13547 |   10  1551    0.0162    0.0016    0.0002 |
    1.560     7     8     7.4     74  13621 |   10  1561    0.0189    0.0019    0.0003 |
    1.570     7     8     7.6     76  13697 |   10  1571    0.0169    0.0017    0.0002 |
    1.580     7     8     7.4     74  13771 |   10  1581    0.0175    0.0017    0.0002 |
    1.590     7     8     7.6     76  13847 |   10  1591    0.0162    0.0016    0.0002 |
    1.600     7     8     7.4     74  13921 |   10  1601    0.0161    0.0016    0.0002 |
    1.610     7     8     7.6     76  13997 |   10  1611    0.0166    0.0017    0.0002 |
    1.620     7     8     7.4     74  14071 |   10  1621    0.0149    0.0015    0.0002 |
    1.630     7     8     7.6     76  14147 |   10  1631    0.0163    0.0016    0.0002 |
    1.640     7     8     7.4     74  14221 |   10  1641    0.0168    0.0017    0.0002 |
    1.650     7     8     7.6     76  14297 |   10  1651    0.0173    0.0017    0.0002 |
    1.660     7     8     7.4     74  14371 |   10  1661    0.0163    0.0016    0.0002 |
    1.670     7     8     7.6     76  14447 |   10  1671    0.0168    0.0017    0.0002 |
    1.680     7     8     7.4     74  14521 |   10  1681    0.0156    0.0016    0.0002 |
    1.690     7     8     7.6     76  14597 |   10  1691    0.0170    0.0017    0.0002 |
    1.700     7     8     7.4     74  14671 |   10  1701    0.0158    0.0016    0.0002 |
    1.710     7     8     7.6     76  14747 |   10  1711    0.0168    0.0017    0.0002 |
    1.720     7     8     7.4     74  14821 |   10  1721    0.0156    0.0016    0.0002 |
    1.730     7     8     7.6     76  14897 |   10  1731    0.0172    0.0017    0.0002 |
    1.740     7     8     7.4     74  14971 |   10  1741    0.0164    0.0016    0.0002 |
    1.750     7     8     7.6     76  15047 |   10  1751    0.0168    0.0017    0.0002 |
    1.760     7     8     7.4     74  15121 |   10  1761    0.0162    0.0016    0.0002 |
    1.770     7     8     7.4     74  15195 |   10  1771    0.0165    0.0016    0.0002 |
    1.780     7     8     7.5     75  15270 |   10  1781    0.0166    0.0017    0.0002 |
    1.790     7     8     7.4     74  15344 |   10  1791    0.0169    0.0017    0.0002 |
    1.800     7     8     7.4     74  15418 |   10  1801    0.0163    0.0016    0.0002 |
    1.810     7     8     7.4     74  15492 |   10  1811    0.0165    0.0017    0.0002 |
    1.820     7     8     7.4     74  15566 |   10  1821    0.0158    0.0016    0.0002 |
    1.830     7     8     7.3     73  15639 |   10  1831    0.0164    0.0016    0.0002 |
    1.840     7     8     7.4     74  15713 |   10  1841    0.0152    0.0015    0.0002 |
    1.850     7     8     7.3     73  15786 |   10  1851    0.0160    0.0016    0.0002 |
    1.860     7     8     7.3     73  15859 |   10  1861    0.0157    0.0016    0.0002 |
    1.870     7     8     7.4     74  15933 |   10  1871    0.0156    0.0016    0.0002 |
    1.880     7     8     7.3     73  16006 |   10  1881    0.0163    0.0016    0.0002 |
    1.890     7     8     7.3     73  16079 |   10  1891    0.0162    0.0016    0.0002 |
    1.900     7     8     7.4     74  16153 |   10  1901    0.0160    0.0016    0.0002 |
    1.910     7     8     7.3     73  16226 |   10  1911    0.0161    0.0016    0.0002 |
    1.920     7     8     7.3     73  16299 |   10  1921    0.0160    0.0016    0.0002 |
    1.930     7     8     7.4     74  16373 |   10  1931    0.0163    0.0016    0.0002 |
    1.940     7     8     7.3     73  16446 |   10  1941    0.0158    0.0016    0.0002 |
    1.950     7     8     7.3     73  16519 |   10  1951    0.0155    0.0016    0.0002 |
    1.960     7     8     7.4     74  16593 |   10  1961    0.0155    0.0016    0.0002 |
    1.970     7     8     7.3     73  16666 |   10  1971    0.0156    0.0016    0.0002 |
    1.980     7     8     7.3     73  16739 |   10  1981    0.0156    0.0016    0.0002 |
    1.990     7     8     7.4     74  16813 |   10  1991    0.0167    0.0017    0.0002 |
    2.000     7     8     7.3     73  16886 |   10  2001    0.0164    0.0016    0.0002 |
    2.010     7    30    26.9    269  17155 |   10  2011    0.0513    0.0051    0.0002 |
    2.020    29    30    29.3    293  17448 |   10  2021    0.0503    0.0050    0.0002 |
    2.030    29    30    29.3    293  17741 |   10  2031    0.0527    0.0053    0.0002 |
    2.040    29    30    29.2    292  18033 |   10  2041    0.0515    0.0051    0.0002 |
    2.050    29    29    29.0    290  18323 |   10  2051    0.0536    0.0054    0.0002 |
    2.060    27    29    28.5    285  18608 |   10  2061    0.0527    0.0053    0.0002 |
    2.070    28    29    28.9    289  18897 |   10  2071    0.0514    0.0051    0.0002 |
    2.080    27    28    27.5    275  19172 |   10  2081    0.0505    0.0051    0.0002 |
    2.090    26    27    26.4    264  19436 |   10  2091    0.0485    0.0048    0.0002 |
    2.100    26    29    27.9    279  19715 |   10  2101    0.0520    0.0052    0.0002 |
    2.110    29    29    29.0    290  20005 |   10  2111    0.0518    0.0052    0.0002 |
    2.120    26    29    27.0    270  20275 |   10  2121    0.0498    0.0050    0.0002 |
    2.130    26    29    28.5    285  20560 |   10  2131    0.0516    0.0052    0.0002 |
    2.140    29    29    29.0    290  20850 |   10  2141    0.0502    0.0050    0.0002 |
    2.150    28    29    28.4    284  21134 |   10  2151    0.0512    0.0051    0.0002 |
    2.160    27    28    27.6    276  21410 |   10  2161    0.0508    0.0051    0.0002 |
    2.170    23    27    25.6    256  21666 |   10  2171    0.0464    0.0046    0.0002 |
    2.180    23    25    24.2    242  21908 |   10  2181    0.0453    0.0045    0.0002 |
    2.190    25    25    25.0    250  22158 |   10  2191    0.0453    0.0045    0.0002 |
    2.200    25    26    25.2    252  22410 |   10  2201    0.0467    0.0047    0.0002 |
    2.210    25    26    25.5    255  22665 |   10  2211    0.0473    0.0047    0.0002 |
    2.220    25    25    25.0    250  22915 |   10  2221    0.0469    0.0047    0.0002 |
    2.230    23    25    23.9    239  23154 |   10  2231    0.0422    0.0042    0.0002 |
    2.240    23    25    23.8    238  23392 |   10  2241    0.0441    0.0044    0.0002 |
