          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.385     5     5     5.0     25   1686 |    5   386    0.0069    0.0014    0.0003 |
    0.390     5     5     5.0     25   1711 |    5   391    0.0081    0.0016    0.0003 |
    0.395     5     5     5.0     25   1736 |    5   396    0.0068    0.0014    0.0003 |
    0.400     5     5     5.0     25   1761 |    5   401    0.0065    0.0013    0.0003 |
    0.405     5     5     5.0     25   1786 |    5   406    0.0070    0.0014    0.0003 |
    0.410     5     5     5.0     25   1811 |    5   411    0.0067    0.0013    0.0003 |
    0.415     5     5     5.0     25   1836 |    5   416    0.0062    0.0012    0.0002 |
    0.420     5     5     5.0     25   1861 |    5   421    0.0057    0.0011    0.0002 |
    0.425     5     5     5.0     25   1886 |    5   426    0.0072    0.0014    0.0003 |
    0.430     5     5     5.0     25   1911 |    5   431    0.0075    0.0015    0.0003 |
    0.435     5     5     5.0     25   1936 |    5   436    0.0079    0.0016    0.0003 |
    0.440     5     5     5.0     25   1961 |    5   441    0.0078    0.0016    0.0003 |
    0.445     5     5     5.0     25   1986 |    5   446    0.0077    0.0015    0.0003 |
    0.450     5     5     5.0     25   2011 |    5   451    0.0066    0.0013    0.0003 |
    0.455     5     5     5.0     25   2036 |    5   456    0.0079    0.0016    0.0003 |
    0.460     5     5     5.0     25   2061 |    5   461    0.0067    0.0013    0.0003 |
    0.465     5     5     5.0     25   2086 |    5   466    0.0068    0.0014    0.0003 |
    0.470     5     5     5.0     25   2111 |    5   471    0.0067    0.0013    0.0003 |
    0.475     5     5     5.0     25   2136 |    5   476    0.0067    0.0013    0.0003 |
    0.480     5     5     5.0     25   2161 |    5   481    0.0067    0.0013    0.0003 |
    0.485     5     5     5.0     25   2186 |    5   486    0.0068    0.0014    0.0003 |
    0.490     5     5     5.0     25   2211 |    5   491    0.0077    0.0015    0.0003 |
    0.495     5     5     5.0     25   2236 |    5   496    0.0069    0.0014    0.0003 |
    0.500     5     5     5.0     25   2261 |    5   501    0.0077    0.0015    0.0003 |
    0.505     5     5     5.0     25   2286 |    5   506    0.0064    0.0013    0.0003 |
    0.510     5     5     5.0     25   2311 |    5   511    0.0075    0.0015    0.0003 |
    0.515     5     5     5.0     25   2336 |    5   516    0.0068    0.0014    0.0003 |
    0.520     5     5     5.0     25   2361 |    5   521    0.0067    0.0013    0.0003 |
    0.525     5     5     5.0     25   2386 |    5   526    0.0068    0.0014    0.0003 |
    0.530     5     5     5.0     25   2411 |    5   531    0.0071    0.0014    0.0003 |
    0.535     5     5     5.0     25   2436 |    5   536    0.0065    0.0013    0.0003 |
    0.540     5     5     5.0     25   2461 |    5   541    0.0066    0.0013    0.0003 |
    0.545     5     5     5.0     25   2486 |    5   546    0.0068    0.0014    0.0003 |
    0.550     5     5     5.0     25   2511 |    5   551    0.0073    0.0015    0.0003 |
    0.555     5     5     5.0     25   2536 |    5   556    0.0069    0.0014    0.0003 |
    0.560     5     5     5.0     25   2561 |    5   561    0.0079    0.0016    0.0003 |
    0.565     5     5     5.0     25   2586 |    5   566    0.0073    0.0015    0.0003 |
    0.570     5     5     5.0     25   2611 |    5   571    0.0075    0.0015    0.0003 |
    0.575     5     5     5.0     25   2636 |    5   576    0.0083    0.0017    0.0003 |
    0.580     5     5     5.0     25   2661 |    5   581    0.0063    0.0013    0.0003 |
    0.585     5     5     5.0     25   2686 |    5   586    0.0062    0.0012    0.0002 |
