          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.380    53    53    53.0    265  20141 |    5   381    0.0072    0.0014    0.0000 |
    0.385    53    53    53.0    265  20406 |    5   386    0.0076    0.0015    0.0000 |
    0.390    53    53    53.0    265  20671 |    5   391    0.0075    0.0015    0.0000 |
    0.395    53    53    53.0    265  20936 |    5   396    0.0076    0.0015    0.0000 |
    0.400    53    53    53.0    265  21201 |    5   401    0.0071    0.0014    0.0000 |
    0.405    53    53    53.0    265  21466 |    5   406    0.0067    0.0013    0.0000 |
    0.410    53    53    53.0    265  21731 |    5   411    0.0067    0.0013    0.0000 |
    0.415    53    53    53.0    265  21996 |    5   416    0.0066    0.0013    0.0000 |
    0.420    53    53    53.0    265  22261 |    5   421    0.0064    0.0013    0.0000 |
    0.425    53    53    53.0    265  22526 |    5   426    0.0081    0.0016    0.0000 |
    0.430    53    53    53.0    265  22791 |    5   431    0.0080    0.0016    0.0000 |
    0.435    53    53    53.0    265  23056 |    5   436    0.0073    0.0015    0.0000 |
    0.440    53    53    53.0    265  23321 |    5   441    0.0076    0.0015    0.0000 |
    0.445    53    53    53.0    265  23586 |    5   446    0.0074    0.0015    0.0000 |
    0.450    53    53    53.0    265  23851 |    5   451    0.0072    0.0014    0.0000 |
    0.455    53    53    53.0    265  24116 |    5   456    0.0076    0.0015    0.0000 |
    0.460    53    53    53.0    265  24381 |    5   461    0.0068    0.0014    0.0000 |
    0.465    53    53    53.0    265  24646 |    5   466    0.0070    0.0014    0.0000 |
    0.470    53    53    53.0    265  24911 |    5   471    0.0075    0.0015    0.0000 |
    0.475    53    53    53.0    265  25176 |    5   476    0.0067    0.0013    0.0000 |
    0.480    53    53    53.0    265  25441 |    5   481    0.0072    0.0014    0.0000 |
    0.485    53    53    53.0    265  25706 |    5   486    0.0074    0.0015    0.0000 |
    0.490    53    53    53.0    265  25971 |    5   491    0.0075    0.0015    0.0000 |
    0.495    53    53    53.0    265  26236 |    5   496    0.0066    0.0013    0.0000 |
    0.500    53    53    53.0    265  26501 |    5   501    0.0073    0.0015    0.0000 |
    0.505    53    53    53.0    265  26766 |    5   506    0.0073    0.0015    0.0000 |
    0.510    53    53    53.0    265  27031 |    5   511    0.0078    0.0016    0.0000 |
    0.515    53    53    53.0    265  27296 |    5   516    0.0068    0.0014    0.0000 |
    0.520    53    53    53.0    265  27561 |    5   521    0.0069    0.0014    0.0000 |
    0.525    53    53    53.0    265  27826 |    5   526    0.0073    0.0015    0.0000 |
    0.530    53    53    53.0    265  28091 |    5   531    0.0065    0.0013    0.0000 |
    0.535    53    53    53.0    265  28356 |    5   536    0.0070    0.0014    0.0000 |
    0.540    53    53    53.0    265  28621 |    5   541    0.0066    0.0013    0.0000 |
    0.545    53    53    53.0    265  28886 |    5   546    0.0073    0.0015    0.0000 |
    0.550    53    53    53.0    265  29151 |    5   551    0.0069    0.0014    0.0000 |
    0.555    53    53    53.0    265  29416 |    5   556    0.0069    0.0014    0.0000 |
    0.560    53    53    53.0    265  29681 |    5   561    0.0081    0.0016    0.0000 |
    0.565    53    53    53.0    265  29946 |    5   566    0.0080    0.0016    0.0000 |
    0.570    53    53    53.0    265  30211 |    5   571    0.0074    0.0015    0.0000 |
    0.575    53    53    53.0    265  30476 |    5   576    0.0082    0.0016    0.0000 |
    0.580    53    53    53.0    265  30741 |    5   581    0.0070    0.0014    0.0000 |
    0.585    53    53    53.0    265  31006 |    5   586    0.0066    0.0013    0.0000 |
    0.590    53    53    53.0    265  31271 |    5   591    0.0083    0.0017    0.0000 |
    0.595    53    53    53.0    265  31536 |    5   596    0.0066    0.0013    0.0000 |
    0.600    53    53    53.0    265  31801 |    5   601    0.0068    0.0014    0.0000 |
    0.605    53    53    53.0    265  32066 |    5   606    0.0073    0.0015    0.0000 |
    0.610    53    53    53.0    265  32331 |    5   611    0.0064    0.0013    0.0000 |
    0.615    53    53    53.0    265  32596 |    5   616    0.0068    0.0014    0.0000 |
    0.620    53    53    53.0    265  32861 |    5   621    0.0070    0.0014    0.0000 |
