          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    3.750    82    89    85.2   4261 139770 |   50  3751    5.9150    0.1183    0.0014 |
    3.800    82    88    83.9   4197 143967 |   50  3801    5.9220    0.1184    0.0014 |
    3.850    79    91    86.1   4306 148273 |   50  3851    6.0912    0.1218    0.0014 |
    3.900    77    93    84.7   4235 152508 |   50  3901    6.0165    0.1203    0.0014 |
    3.950    77    91    85.6   4279 156787 |   50  3951    6.2305    0.1246    0.0015 |
    4.000    82    89    87.2   4358 161145 |   50  4001    6.1729    0.1235    0.0014 |
    4.050    77    91    87.6   4380 165525 |   50  4051    6.1352    0.1227    0.0014 |
    4.100    76    90    87.0   4352 169877 |   50  4101    6.0620    0.1212    0.0014 |
    4.150    80    87    83.8   4189 174066 |   50  4151    5.8263    0.1165    0.0014 |
    4.200    80    91    86.9   4345 178411 |   50  4201    6.0480    0.1210    0.0014 |
    4.250    80    86    82.1   4105 182516 |   50  4251    5.7541    0.1151    0.0014 |
    4.300    80    86    83.4   4171 186687 |   50  4301    5.8520    0.1170    0.0014 |
    4.350    80    91    84.1   4207 190894 |   50  4351    5.8657    0.1173    0.0014 |
    4.400    76    93    86.4   4318 195212 |   50  4401    6.0024    0.1200    0.0014 |
    4.450    78    82    81.0   4049 199261 |   50  4451    5.6481    0.1130    0.0014 |
    4.500    75    91    84.1   4204 203465 |   50  4501    5.8727    0.1175    0.0014 |
    4.550    76    87    84.6   4230 207695 |   50  4551    5.9112    0.1182    0.0014 |
    4.600    77    88    83.5   4173 211868 |   50  4601    5.7778    0.1156    0.0014 |
    4.650    81    89    85.4   4270 216138 |   50  4651    5.9413    0.1188    0.0014 |
    4.700    77    89    85.6   4280 220418 |   50  4701    5.9781    0.1196    0.0014 |
    4.750    82    89    86.1   4306 224724 |   50  4751    6.0314    0.1206    0.0014 |
    4.800    81    91    88.6   4428 229152 |   50  4801    6.1799    0.1236    0.0014 |
    4.850    87    92    88.5   4425 233577 |   50  4851    6.1611    0.1232    0.0014 |
    4.900    85    91    87.5   4375 237952 |   50  4901    6.0981    0.1220    0.0014 |
    4.950    85    89    86.9   4345 242297 |   50  4951    6.0286    0.1206    0.0014 |
    5.000    87    91    88.6   4431 246728 |   50  5001    6.2510    0.1250    0.0014 |
    5.050    85    92    88.3   4417 251145 |   50  5051    6.1320    0.1226    0.0014 |
    5.100    79    91    87.2   4358 255503 |   50  5101    6.1583    0.1232    0.0014 |
    5.150    79    93    88.4   4420 259923 |   50  5151    6.2724    0.1254    0.0014 |
    5.200    80    93    87.5   4377 264300 |   50  5201    6.0996    0.1220    0.0014 |
    5.250    78    93    86.9   4346 268646 |   50  5251    6.1110    0.1222    0.0014 |
    5.300    82    94    89.7   4486 273132 |   50  5301    6.2161    0.1243    0.0014 |
    5.350    87    93    90.2   4510 277642 |   50  5351    6.2659    0.1253    0.0014 |
    5.400    88    93    90.1   4506 282148 |   50  5401    6.2606    0.1252    0.0014 |
    5.450    87    91    88.4   4421 286569 |   50  5451    6.1662    0.1233    0.0014 |
    5.500    76    93    87.4   4372 290941 |   50  5501    6.2440    0.1249    0.0014 |
    5.550    86    89    87.4   4371 295312 |   50  5551    6.3903    0.1278    0.0015 |
    5.600    87    90    88.2   4410 299722 |   50  5601    6.1331    0.1227    0.0014 |
    5.650    75    88    86.3   4316 304038 |   50  5651    5.9920    0.1198    0.0014 |
    5.700    77    91    84.5   4224 308262 |   50  5701    5.9836    0.1197    0.0014 |
    5.750    79    89    85.0   4248 312510 |   50  5751    6.0055    0.1201    0.0014 |
    5.800    86    90    88.2   4411 316921 |   50  5801    6.1224    0.1224    0.0014 |
    5.850    77    88    83.3   4167 321088 |   50  5851    5.7939    0.1159    0.0014 |
    5.900    82    92    87.8   4391 325479 |   50  5901    6.0980    0.1220    0.0014 |
    5.950    75    87    82.7   4136 329615 |   50  5951    5.8244    0.1165    0.0014 |
    6.000    79    87    84.8   4241 333856 |   50  6001    5.8960    0.1179    0.0014 |
    6.050    78    90    85.2   4261 338117 |   50  6051    5.9194    0.1184    0.0014 |
    6.100    80    93    87.3   4364 342481 |   50  6101    6.0806    0.1216    0.0014 |
    6.150    82    85    83.3   4164 346645 |   50  6151    5.8730    0.1175    0.0014 |
    6.200    80    87    82.9   4144 350789 |   50  6201    5.8975    0.1180    0.0014 |
    6.250    81    85    83.0   4152 354941 |   50  6251    5.8042    0.1161    0.0014 |
    6.300    82    88    85.5   4273 359214 |   50  6301    6.0101    0.1202    0.0014 |
    6.350    82    90    86.1   4303 363517 |   50  6351    6.1231    0.1225    0.0014 |
    6.400    81    87    85.0   4252 367769 |   50  6401    6.0263    0.1205    0.0014 |
    6.450    82    88    84.2   4211 371980 |   50  6451    5.9532    0.1191    0.0014 |
    6.500    83    88    85.8   4290 376270 |   50  6501    5.9722    0.1194    0.0014 |
    6.550    82    87    85.2   4261 380531 |   50  6551    5.9222    0.1184    0.0014 |
    6.600    80    87    83.0   4150 384681 |   50  6601    5.7810    0.1156    0.0014 |
    6.650    81    87    84.0   4198 388879 |   50  6651    5.8323    0.1166    0.0014 |
    6.700    82    87    84.9   4244 393123 |   50  6701    5.9642    0.1193    0.0014 |
    6.750    78    84    81.8   4089 397212 |   50  6751    5.7017    0.1140    0.0014 |
    6.800    77    83    80.4   4021 401233 |   50  6801    5.5895    0.1118    0.0014 |
    6.850    80    89    83.0   4151 405384 |   50  6851    5.7834    0.1157    0.0014 |
    6.900    81    88    85.4   4269 409653 |   50  6901    5.9257    0.1185    0.0014 |
    6.950    80    88    84.2   4210 413863 |   50  6951    5.9402    0.1188    0.0014 |
    7.000    82    88    84.3   4214 418077 |   50  7001    5.8783    0.1176    0.0014 |
    7.050    78    89    86.6   4328 422405 |   50  7051    6.0192    0.1204    0.0014 |
    7.100    75    88    83.0   4151 426556 |   50  7101    5.8253    0.1165    0.0014 |
    7.150    79    86    81.9   4094 430650 |   50  7151    5.7888    0.1158    0.0014 |
    7.200    74    88    84.5   4224 434874 |   50  7201    6.0261    0.1205    0.0014 |
    7.250    77    91    87.0   4349 439223 |   50  7251    6.1374    0.1227    0.0014 |
    7.300    75    88    83.3   4165 443388 |   50  7301    5.8180    0.1164    0.0014 |
    7.350    72    88    83.6   4179 447567 |   50  7351    5.9115    0.1182    0.0014 |
    7.400    73    86    82.6   4129 451696 |   50  7401    5.7506    0.1150    0.0014 |
    7.450    76    86    81.9   4097 455793 |   50  7451    5.7849    0.1157    0.0014 |
    7.500    79    84    81.5   4073 459866 |   50  7501    5.6613    0.1132    0.0014 |
    7.550    80    83    81.6   4078 463944 |   50  7551    5.6909    0.1138    0.0014 |
    7.600    81    87    83.3   4163 468107 |   50  7601    5.7817    0.1156    0.0014 |
    7.650    81    87    85.5   4275 472382 |   50  7651    5.9502    0.1190    0.0014 |
    7.700    83    87    85.0   4250 476632 |   50  7701    5.9852    0.1197    0.0014 |
    7.750    81    87    84.1   4207 480839 |   50  7751    5.8399    0.1168    0.0014 |
    7.800    82    87    84.2   4209 485048 |   50  7801    5.8520    0.1170    0.0014 |
    7.850    81    86    83.2   4158 489206 |   50  7851    5.8093    0.1162    0.0014 |
    7.900    81    84    82.4   4122 493328 |   50  7901    5.7381    0.1148    0.0014 |
    7.950    74    82    77.9   3896 497224 |   50  7951    5.5189    0.1104    0.0014 |
    8.000    73    76    75.1   3757 500981 |   50  8001    5.2359    0.1047    0.0014 |
    8.050    72    81    76.7   3833 504814 |   50  8051    5.3464    0.1069    0.0014 |
    8.100    81    85    83.1   4154 508968 |   50  8101    5.7928    0.1159    0.0014 |
    8.150    82    87    83.9   4194 513162 |   50  8151    5.8800    0.1176    0.0014 |
    8.200    82    87    84.5   4225 517387 |   50  8201    6.0861    0.1217    0.0014 |
    8.250    82    86    83.9   4197 521584 |   50  8251    5.8581    0.1172    0.0014 |
    8.300    81    88    86.0   4302 525886 |   50  8301    6.3331    0.1267    0.0015 |
