          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    3.750    31    32    31.3   1563  51112 |   50  3751    0.1252    0.0025    0.0001 |
    3.800    32    33    32.3   1615  52727 |   50  3801    0.1336    0.0027    0.0001 |
    3.850    31    33    32.0   1601  54328 |   50  3851    0.1316    0.0026    0.0001 |
    3.900    31    32    31.4   1572  55900 |   50  3901    0.1290    0.0026    0.0001 |
    3.950    31    32    31.9   1593  57493 |   50  3951    0.1378    0.0028    0.0001 |
    4.000    29    32    31.6   1580  59073 |   50  4001    0.1298    0.0026    0.0001 |
    4.050    29    32    31.2   1561  60634 |   50  4051    0.1294    0.0026    0.0001 |
    4.100    31    32    31.7   1585  62219 |   50  4101    0.1282    0.0026    0.0001 |
    4.150    29    32    30.8   1540  63759 |   50  4151    0.1247    0.0025    0.0001 |
    4.200    31    32    31.9   1597  65356 |   50  4201    0.1269    0.0025    0.0001 |
    4.250    32    32    32.0   1600  66956 |   50  4251    0.1318    0.0026    0.0001 |
    4.300    32    33    32.3   1613  68569 |   50  4301    0.1300    0.0026    0.0001 |
    4.350    31    33    32.0   1601  70170 |   50  4351    0.1269    0.0025    0.0001 |
    4.400    31    32    31.6   1580  71750 |   50  4401    0.1246    0.0025    0.0001 |
    4.450    31    31    31.0   1550  73300 |   50  4451    0.1244    0.0025    0.0001 |
    4.500    31    31    31.0   1550  74850 |   50  4501    0.1279    0.0026    0.0001 |
    4.550    31    31    31.0   1550  76400 |   50  4551    0.1252    0.0025    0.0001 |
    4.600    31    32    31.6   1582  77982 |   50  4601    0.1260    0.0025    0.0001 |
    4.650    32    32    32.0   1600  79582 |   50  4651    0.1281    0.0026    0.0001 |
    4.700    32    33    32.3   1614  81196 |   50  4701    0.1302    0.0026    0.0001 |
    4.750    32    32    32.0   1600  82796 |   50  4751    0.1316    0.0026    0.0001 |
    4.800    31    32    31.6   1581  84377 |   50  4801    0.1272    0.0025    0.0001 |
    4.850    32    32    32.0   1600  85977 |   50  4851    0.1254    0.0025    0.0001 |
    4.900    32    33    32.1   1606  87583 |   50  4901    0.1292    0.0026    0.0001 |
    4.950    32    32    32.0   1600  89183 |   50  4951    0.1285    0.0026    0.0001 |
    5.000    31    33    32.0   1598  90781 |   50  5001    0.1313    0.0026    0.0001 |
    5.050    32    33    32.3   1615  92396 |   50  5051    0.1297    0.0026    0.0001 |
    5.100    32    32    32.0   1600  93996 |   50  5101    0.1340    0.0027    0.0001 |
    5.150    32    32    32.0   1600  95596 |   50  5151    0.1320    0.0026    0.0001 |
    5.200    31    32    31.4   1569  97165 |   50  5201    0.1262    0.0025    0.0001 |
    5.250    31    31    31.0   1550  98715 |   50  5251    0.1257    0.0025    0.0001 |
    5.300    31    37    33.6   1680 100395 |   50  5301    0.1319    0.0026    0.0001 |
    5.350    37    38    37.0   1851 102246 |   50  5351    0.1452    0.0029    0.0001 |
    5.400    37    38    37.6   1879 104125 |   50  5401    0.1465    0.0029    0.0001 |
    5.450    37    38    37.4   1868 105993 |   50  5451    0.1481    0.0030    0.0001 |
    5.500    37    38    37.1   1856 107849 |   50  5501    0.1539    0.0031    0.0001 |
    5.550    37    38    37.3   1867 109716 |   50  5551    0.1556    0.0031    0.0001 |
    5.600    37    37    37.0   1850 111566 |   50  5601    0.1453    0.0029    0.0001 |
    5.650    37    37    37.0   1850 113416 |   50  5651    0.1458    0.0029    0.0001 |
    5.700    37    38    37.7   1883 115299 |   50  5701    0.1540    0.0031    0.0001 |
    5.750    37    38    37.4   1872 117171 |   50  5751    0.1508    0.0030    0.0001 |
    5.800    37    38    37.4   1868 119039 |   50  5801    0.1473    0.0029    0.0001 |
    5.850    35    38    37.9   1896 120935 |   50  5851    0.1490    0.0030    0.0001 |
    5.900    37    38    37.6   1880 122815 |   50  5901    0.1475    0.0030    0.0001 |
    5.950    38    38    38.0   1900 124715 |   50  5951    0.1538    0.0031    0.0001 |
    6.000    37    38    37.9   1897 126612 |   50  6001    0.1491    0.0030    0.0001 |
    6.050    37    37    37.0   1850 128462 |   50  6051    0.1463    0.0029    0.0001 |
    6.100    37    38    37.8   1892 130354 |   50  6101    0.1500    0.0030    0.0001 |
    6.150    38    39    38.2   1912 132266 |   50  6151    0.1536    0.0031    0.0001 |
    6.200    38    39    38.7   1937 134203 |   50  6201    0.1590    0.0032    0.0001 |
    6.250    38    39    38.6   1930 136133 |   50  6251    0.1500    0.0030    0.0001 |
    6.300    38    38    38.0   1900 138033 |   50  6301    0.1511    0.0030    0.0001 |
    6.350    37    38    38.0   1899 139932 |   50  6351    0.1598    0.0032    0.0001 |
    6.400    37    38    37.9   1895 141827 |   50  6401    0.1554    0.0031    0.0001 |
    6.450    38    42    39.0   1950 143777 |   50  6451    0.1617    0.0032    0.0001 |
    6.500    41    41    41.0   2050 145827 |   50  6501    0.1599    0.0032    0.0001 |
    6.550    40    41    40.7   2035 147862 |   50  6551    0.1573    0.0031    0.0001 |
    6.600    39    42    40.8   2039 149901 |   50  6601    0.1573    0.0031    0.0001 |
    6.650    42    42    42.0   2100 152001 |   50  6651    0.1625    0.0032    0.0001 |
    6.700    40    42    41.0   2048 154049 |   50  6701    0.1607    0.0032    0.0001 |
    6.750    40    41    40.4   2018 156067 |   50  6751    0.1581    0.0032    0.0001 |
    6.800    39    40    39.9   1995 158062 |   50  6801    0.1553    0.0031    0.0001 |
    6.850    37    40    39.3   1963 160025 |   50  6851    0.1522    0.0030    0.0001 |
    6.900    37    41    39.0   1948 161973 |   50  6901    0.1518    0.0030    0.0001 |
    6.950    37    40    37.2   1862 163835 |   50  6951    0.1516    0.0030    0.0001 |
    7.000    37    37    37.0   1850 165685 |   50  7001    0.1468    0.0029    0.0001 |
    7.050    37    37    37.0   1850 167535 |   50  7051    0.1472    0.0029    0.0001 |
    7.100    37    37    37.0   1850 169385 |   50  7101    0.1486    0.0030    0.0001 |
    7.150    37    37    37.0   1850 171235 |   50  7151    0.1461    0.0029    0.0001 |
    7.200    37    37    37.0   1850 173085 |   50  7201    0.1569    0.0031    0.0001 |
    7.250    36    37    36.9   1843 174928 |   50  7251    0.1485    0.0030    0.0001 |
    7.300    36    37    37.0   1848 176776 |   50  7301    0.1455    0.0029    0.0001 |
    7.350    37    37    37.0   1850 178626 |   50  7351    0.1548    0.0031    0.0001 |
    7.400    37    37    37.0   1850 180476 |   50  7401    0.1437    0.0029    0.0001 |
    7.450    36    37    36.8   1842 182318 |   50  7451    0.1485    0.0030    0.0001 |
    7.500    36    37    36.2   1811 184129 |   50  7501    0.1413    0.0028    0.0001 |
    7.550    36    37    36.3   1817 185946 |   50  7551    0.1448    0.0029    0.0001 |
    7.600    37    40    37.7   1885 187831 |   50  7601    0.1471    0.0029    0.0001 |
    7.650    37    37    37.0   1850 189681 |   50  7651    0.1442    0.0029    0.0001 |
    7.700    37    37    37.0   1850 191531 |   50  7701    0.1530    0.0031    0.0001 |
    7.750    37    39    38.1   1906 193437 |   50  7751    0.1486    0.0030    0.0001 |
    7.800    38    39    38.8   1939 195376 |   50  7801    0.1506    0.0030    0.0001 |
    7.850    39    39    39.0   1950 197326 |   50  7851    0.1517    0.0030    0.0001 |
    7.900    38    39    38.6   1932 199258 |   50  7901    0.1516    0.0030    0.0001 |
    7.950    38    38    38.0   1900 201158 |   50  7951    0.1557    0.0031    0.0001 |
    8.000    38    39    38.4   1922 203080 |   50  8001    0.1492    0.0030    0.0001 |
    8.050    38    39    38.2   1911 204991 |   50  8051    0.1491    0.0030    0.0001 |
    8.100    38    38    38.0   1900 206891 |   50  8101    0.1489    0.0030    0.0001 |
    8.150    38    39    38.1   1906 208797 |   50  8151    0.1520    0.0030    0.0001 |
    8.200    37    40    39.1   1953 210750 |   50  8201    0.1606    0.0032    0.0001 |
    8.250    37    40    38.5   1926 212676 |   50  8251    0.1521    0.0030    0.0001 |
    8.300    37    39    37.4   1868 214544 |   50  8301    0.1658    0.0033    0.0001 |
    8.350    37    39    37.2   1858 216402 |   50  8351    0.1850    0.0037    0.0001 |
    8.400    37    40    38.1   1907 218309 |   50  8401    0.2024    0.0040    0.0001 |
    8.450    37    38    37.3   1863 220172 |   50  8451    0.1671    0.0033    0.0001 |
    8.500    37    37    37.0   1850 222022 |   50  8501    0.1576    0.0032    0.0001 |
    8.550    37    39    37.1   1854 223876 |   50  8551    0.1617    0.0032    0.0001 |
    8.600    37    39    37.5   1876 225752 |   50  8601    0.1896    0.0038    0.0001 |
    8.650    37    39    38.0   1902 227654 |   50  8651    0.1843    0.0037    0.0001 |
    8.700    37    37    37.0   1850 229504 |   50  8701    0.1445    0.0029    0.0001 |
    8.750    37    37    37.0   1850 231354 |   50  8751    0.1364    0.0027    0.0001 |
    8.800    37    38    37.1   1855 233209 |   50  8801    0.1405    0.0028    0.0001 |
    8.850    37    37    37.0   1850 235059 |   50  8851    0.1465    0.0029    0.0001 |
    8.900    36    37    36.9   1843 236902 |   50  8901    0.1431    0.0029    0.0001 |
    8.950    36    37    36.0   1801 238703 |   50  8951    0.1452    0.0029    0.0001 |
    9.000    36    36    36.0   1800 240503 |   50  9001    0.1335    0.0027    0.0001 |
    9.050    36    36    36.0   1800 242303 |   50  9051    0.1331    0.0027    0.0001 |
    9.100    35    36    35.6   1779 244082 |   50  9101    0.1306    0.0026    0.0001 |
    9.150    35    35    35.0   1750 245832 |   50  9151    0.1325    0.0026    0.0001 |
    9.200    35    35    35.0   1750 247582 |   50  9201    0.1279    0.0026    0.0001 |
    9.250    35    35    35.0   1750 249332 |   50  9251    0.1312    0.0026    0.0001 |
    9.300    34    35    34.5   1726 251058 |   50  9301    0.1314    0.0026    0.0001 |
    9.350    34    34    34.0   1700 252758 |   50  9351    0.1265    0.0025    0.0001 |
    9.400    34    34    34.0   1700 254458 |   50  9401    0.1254    0.0025    0.0001 |
    9.450    33    34    33.1   1657 256115 |   50  9451    0.1221    0.0024    0.0001 |
    9.500    33    33    33.0   1650 257765 |   50  9501    0.1227    0.0025    0.0001 |
    9.550    33    33    33.0   1650 259415 |   50  9551    0.1226    0.0025    0.0001 |
    9.600    33    33    33.0   1650 261065 |   50  9601    0.1233    0.0025    0.0001 |
    9.650    33    33    33.0   1650 262715 |   50  9651    0.1294    0.0026    0.0001 |
    9.700    33    33    33.0   1650 264365 |   50  9701    0.1208    0.0024    0.0001 |
    9.750    33    33    33.0   1650 266015 |   50  9751    0.1231    0.0025    0.0001 |
    9.800    33    34    33.1   1653 267668 |   50  9801    0.1227    0.0025    0.0001 |
    9.850    33    34    34.0   1699 269367 |   50  9851    0.1254    0.0025    0.0001 |
    9.900    34    34    34.0   1700 271067 |   50  9901    0.1260    0.0025    0.0001 |
    9.950    34    34    34.0   1700 272767 |   50  9951    0.1251    0.0025    0.0001 |
   10.000    34    34    34.0   1700 274467 |   50 10001    0.1289    0.0026    0.0001 |
